segment_name,description,support,support_rate,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift,strength,business_interpretation
very_low_mcc_entropy,"Nhóm cực thấp về mcc_entropy_30d, thường cần soi kỹ hơn.",5017,0.05017,454,0.09049232609128961,0.02549,0.06500232609128961,3.5501108705880586,STRONG,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
low_mcc_entropy,User có lịch sử MCC ít đa dạng. Đây là tín hiệu behavioral anomaly vì giao dịch mới có thể lệch khỏi hành vi ngành hàng quen thuộc.,10012,0.10012,854,0.08529764282860568,0.02549,0.05980764282860568,3.346317882644397,STRONG,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
night_unusual,Giao dịch ban đêm nhưng user có lịch sử night_ratio_30d thấp. Đây là tín hiệu bất thường về thời gian.,3417,0.03417,255,0.07462686567164178,0.02549,0.049136865671641786,2.927691866286457,MEDIUM,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
low_night_ratio,User gần như không có thói quen giao dịch ban đêm.,10003,0.10003,742,0.0741777466759972,0.02549,0.04868774667599721,2.9100724470771757,MEDIUM,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
high_max_amount_30d,User có max_amount_30d thuộc nhóm rất cao.,10000,0.1,663,0.0663,0.02549,0.04081,2.6010200078462145,MEDIUM,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
low_country_diversity,User có lịch sử giao dịch ở ít quốc gia.,12114,0.12114,748,0.06174673930988939,0.02549,0.03625673930988939,2.4223907143934635,MEDIUM,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
has_chargeback_history,User có lịch sử chargeback trong 365 ngày.,15016,0.15016,433,0.028835908364411293,0.02549,0.0033459083644112944,1.1312635686312786,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
card_not_present,"Giao dịch không có thẻ vật lý, thường rủi ro hơn trong fraud online.",65166,0.65166,1714,0.026302059356105946,0.02549,0.0008120593561059472,1.0318579582622969,LOW_SIGNAL,"Giao dịch không có thẻ vật lý. Với fraud online, card-not-present thường cần soi kỹ, đặc biệt khi đi kèm tín hiệu bất thường khác."
night_transaction,Giao dịch hiện tại xảy ra ban đêm.,33235,0.33235,869,0.02614713404543403,0.02549,0.0006571340454340317,1.0257800723983534,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
tokenised_transaction,Giao dịch tokenised.,45024,0.45024,1132,0.025142146410803128,0.02549,-0.0003478535891968705,0.986353331141747,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
high_current_amount,Giao dịch hiện tại có amount thuộc nhóm cao.,10000,0.1,251,0.0251,0.02549,-0.000389999999999998,0.9846998823067871,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
high_ip_score,IP risk score thuộc nhóm cao.,10008,0.10008,247,0.02468025579536371,0.02549,-0.0008097442046362882,0.9682328676094042,LOW_SIGNAL,"IP có điểm rủi ro cao. Đây là tín hiệu kỹ thuật quan trọng, nên kết hợp với hành vi user."
high_amount_to_mean,Amount hiện tại cao hơn nhiều so với mean_amount_30d. Đây là tín hiệu amount anomaly.,10000,0.1,215,0.0215,0.02549,-0.0039900000000000005,0.8434680266771283,LOW_SIGNAL,Giao dịch có giá trị cao so với lịch sử. Đây là nhóm amount anomaly quan trọng.
cross_border,Giao dịch xuyên biên giới.,19941,0.19941,414,0.020761245674740483,0.02549,-0.0047287543252595154,0.8144859032852289,LOW_SIGNAL,Giao dịch xuyên biên giới. Risk phụ thuộc vào việc user có quen giao dịch nhiều quốc gia hay không.
high_device_diversity,User dùng nhiều thiết bị trong 30 ngày. Có thể liên quan account takeover hoặc account sharing.,12414,0.12414,184,0.014821975189302401,0.02549,-0.010668024810697598,0.5814819611338722,LOW_SIGNAL,User có nhiều thiết bị trong thời gian gần. Có thể là dấu hiệu account sharing hoặc account takeover.
high_decline_rate,User có tỷ lệ decline cao trong 30 ngày.,10077,0.10077,144,0.01428996725215838,0.02549,-0.011200032747841619,0.5606107199748286,LOW_SIGNAL,User có tỷ lệ giao dịch bị từ chối cao. Đây là tín hiệu lịch sử rủi ro cần khai thác.
high_amount_to_max,Amount hiện tại tiệm cận hoặc vượt max_amount_30d. Cần kiểm tra vì có thể là giao dịch bất thường.,10000,0.1,66,0.0066,0.02549,-0.018889999999999997,0.25892506865437426,LOW_SIGNAL,Giao dịch có giá trị cao so với lịch sử. Đây là nhóm amount anomaly quan trọng.
low_spending_trend,Xu hướng chi tiêu 30 ngày thấp hoặc giảm.,0,0.0,0,0.0,0.02549,-0.02549,0.0,WEAK_SUPPORT,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
