feature,readable_feature,coefficient,abs_coefficient,direction,coefficient_meaning,insight_group,business_meaning,expected_direction,stage3_evidence
categorical__night_unusual_group_not_night,night_unusual_group=not_night,1.16065167621976,1.16065167621976,increase_risk,Làm tăng log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__amount_to_max_group_below_half_max,amount_to_max_group=below_half_max,0.8842145361855926,0.8842145361855926,increase_risk,Làm tăng log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
categorical__amount_to_max_group_extreme,amount_to_max_group=extreme,-0.8028351730237708,0.8028351730237708,decrease_risk,Làm giảm log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
numeric__mcc_entropy_30d,mcc_entropy_30d,-0.7104319361584585,0.7104319361584585,decrease_risk,Làm giảm log-odds fraud risk,MCC behavior anomaly,"User có lịch sử ngành hàng/MCC ít đa dạng. Khi hành vi ngành hàng hẹp kết hợp với tín hiệu bất thường khác, fraud risk tăng.",mcc_entropy_30d cao thường giảm risk; low_mcc_entropy flag/interaction thường tăng risk.,Giai đoạn 3 cho thấy low_mcc_entropy và very_low_mcc_entropy là các segment có lift cao và ổn định.
interaction__low_mcc_entropy_x_high_max_amount_30d,low_mcc_entropy_x_high_max_amount_30d,0.678902251851748,0.678902251851748,increase_risk,Làm tăng log-odds fraud risk,MCC behavior anomaly,"User có lịch sử ngành hàng/MCC ít đa dạng. Khi hành vi ngành hàng hẹp kết hợp với tín hiệu bất thường khác, fraud risk tăng.",mcc_entropy_30d cao thường giảm risk; low_mcc_entropy flag/interaction thường tăng risk.,Giai đoạn 3 cho thấy low_mcc_entropy và very_low_mcc_entropy là các segment có lift cao và ổn định.
binary__night_transaction_flag,night_transaction_flag,0.6663100531202444,0.6663100531202444,increase_risk,Làm tăng log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
numeric__amount_z_30d,amount_z_30d,0.6648336233574242,0.6648336233574242,increase_risk,Làm tăng log-odds fraud risk,Amount anomaly,Giao dịch hiện tại lệch so với lịch sử amount của user.,amount_z_30d cao hoặc các interaction với high_max_amount_30d thường làm tăng risk.,Giai đoạn 3 cho thấy high_max_amount_30d và một số amount group có lift cao hơn baseline.
interaction__low_mcc_entropy_x_low_spending_trend,low_mcc_entropy_x_low_spending_trend,0.6614242643410929,0.6614242643410929,increase_risk,Làm tăng log-odds fraud risk,MCC behavior anomaly,"User có lịch sử ngành hàng/MCC ít đa dạng. Khi hành vi ngành hàng hẹp kết hợp với tín hiệu bất thường khác, fraud risk tăng.",mcc_entropy_30d cao thường giảm risk; low_mcc_entropy flag/interaction thường tăng risk.,Giai đoạn 3 cho thấy low_mcc_entropy và very_low_mcc_entropy là các segment có lift cao và ổn định.
interaction__low_night_ratio_x_high_max_amount_30d,low_night_ratio_x_high_max_amount_30d,0.6111605967861102,0.6111605967861102,increase_risk,Làm tăng log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__night_unusual_group_very_high,night_unusual_group=very_high,-0.5948360149425622,0.5948360149425622,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
